сесть (я сел)	sesti (ja sam seo)	

резать (я резал)	seći (ja sam sekao)

мочь (я мог)	moći (ja sam mogao)

упасть (я упал)	pasti (ja sam pao)

помочь (я помог)	pomoći (ja sam pomogao)

успеть (я успел)	stići (ja sam stigao)

сказать (я сказал)	reći (ja sam rekao)	

печь (я испёк)	peći (ja sam pekao)

течь (он тёк)	teći (on je tekao)

бить (я бил)	tući (ja sam tukao)

прийти (я пришёл)	doći (ja sam došao)

уйти (я ушёл)	otići (ja sam otišao)

идти (я шёл)	ići (ja sam išao)

найти (я нашёл)	naći (ja sam našao)



